Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
53354100;CC(=O)O[C@H]1[C@H](Oc2cc(O)c3c(=O)c4ccccc4sc3c2)O[C@@H](C)[C@H](O)[C@H]1OC(C)=O;3;No;C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)Oc1cc(c2c(c1)sc1ccccc1c2=O)O)OC(=O)C)OC(=O)C)O;0.037764225;1;-10.2;6
53354101;CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](Oc2cc(O)c3c(=O)c4ccccc4sc3c2)[C@@H]1O;3;No;C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)Oc1cc(c2c(c1)sc1ccccc1c2=O)O)O)OC(=O)C)O;0.037404399;1;-10.1;4
53374551;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(c4ccc(O)c(O)c4)Cc4cc(O)cc(O)c4C3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O;3;No;C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC1=C(Cc2cc(cc(c2C1=O)O)O)c1cc(c(cc1)O)O)O)O)O)O)O)O;0.039669957;1;-12.8;6
53380926;COc1c(O)cc2c(c1O)[C@@H]1O[C@H](COC(=O)c3cc(O)c(O)c(O)c3)[C@@H](O)[C@H](O)[C@H]1OC2=O;3;No;COc1c(cc2c(c1O)[C@H]1[C@@H]([C@H]([C@@H]([C@@H](COC(=O)c3cc(c(c(c3)O)O)O)O1)O)O)OC2=O)O;0.044332814;1;-10.3;5
53393458;CN[C@H]1[C@H](O)[C@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@@H]3O[C@H]([C@@H](C)O)[C@@H](O)[C@@H](O)[C@@H]3N)[C@H]2O)OC[C@@]1(C)O;2;No;C[C@H]([C@@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]1[C@H](C[C@H]([C@@H]([C@@H]1O)O[C@H]1[C@H]([C@@H]([C@](CO1)(C)O)NC)O)N)N)N)O)O)O;0.047623269;1;-10.3;6
53462623;C[C@H]1O[C@@H](O[C@H]2[C@H](O)c3c(O)cc(O)cc3O[C@@H]2c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O;3;No;C[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](O1)O[C@H]1[C@@H](c2c(cc(cc2O[C@@H]1c1cc(c(c(c1)O)O)O)O)O)O)O)O)O;0.044949025;1;-12;3
53462709;CC1=CO[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H](O)CC[C@@H]12;2;No;CC1=CO[C@@H]([C@@H]2[C@H]1CC[C@@H]2O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O;0.047284015;1;-9.9;3
53477904;C[C@@H](CCC[C@@H](CO)COS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@H]3[C@H](C[C@H](O)[C@]12C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O;2;No;C[C@@H](CCC[C@@H](CO)COS(=O)(=O)O)[C@H]1CC[C@H]2[C@@]1([C@H](C[C@H]1[C@@H]2[C@@H](C[C@H]2[C@@]1(CC[C@H](C2)O)C)O)O)C;0.042096153;1;-11.1;9
53481021;Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]2O[C@H]3O[P@](=O)(O)O[C@H]3[C@@H]2O)[C@@H](O)[C@H]1O;4;No;c1nc2c(c(n1)N)ncn2[C@H]1[C@@H]([C@@H]([C@@H](CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]2[C@H]([C@H]3[C@@H](O2)O[P@@](=O)(O3)O)O)O1)O)O;0.039775241;1;-10.1;9
53634298;OC[C@H]1O[C@@H](O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O;2;No;c1ccc(cc1)[C@H](O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O;0.030060437;1;-10.5;7
