Compound,Model ID,Energy,nRot
CHEMBL436380,1,-10.8,5
CHEMBL3193652,1,-10.8,6
CHEMBL153514,1,-10.8,14
CHEMBL4096508,1,-10.8,16
CHEMBL1989999,1,-10.8,7
CHEMBL101537,1,-10.8,8
CHEMBL87054,1,-10.8,12
CHEMBL2111810,1,-10.8,18
CHEMBL2311205,1,-10.8,14
CHEMBL1162041,1,-10.8,6
CHEMBL3526295,1,-10.8,8
CHEMBL326543,1,-10.8,12
CHEMBL1208272,1,-10.8,8
CHEMBL458323,1,-10.8,8
CHEMBL2171206,1,-10.8,6
CHEMBL3397953,1,-10.8,5
CHEMBL2087148,1,-10.8,5
CHEMBL518067,1,-10.8,8
CHEMBL1928406,1,-10.8,9
CHEMBL332127,1,-10.8,16
CHEMBL2035859,1,-10.8,19
CHEMBL1707235,1,-10.8,5
CHEMBL3593352,1,-10.8,5
CHEMBL306352,1,-10.8,5
CHEMBL141002,1,-10.8,12
CHEMBL1314714,1,-10.8,7
CHEMBL3753368,1,-10.8,7
CHEMBL304686,1,-10.8,4
CHEMBL2152447,1,-10.8,7
CHEMBL479499,1,-10.8,3
CHEMBL3983666,1,-10.8,7
CHEMBL3813821,1,-10.8,7
CHEMBL597338,1,-10.8,6
CHEMBL37383,1,-10.8,12
CHEMBL463844,1,-10.8,8
CHEMBL1170697,1,-10.8,0
CHEMBL1876907,1,-10.8,9
CHEMBL3916426,1,-10.8,11
CHEMBL185128,1,-10.7,11
CHEMBL1667883,1,-10.7,8
CHEMBL524946,1,-10.7,9
CHEMBL444385,1,-10.7,8
CHEMBL3596388,1,-10.7,13
CHEMBL113339,1,-10.7,7
CHEMBL1643393,1,-10.7,14
CHEMBL1711982,1,-10.7,1
CHEMBL447738,1,-10.7,7
CHEMBL563238,1,-10.7,8
CHEMBL3120855,1,-10.7,6
CHEMBL1923079,1,-10.7,9
CHEMBL1602917,1,-10.7,4
CHEMBL487018,1,-10.7,5
CHEMBL1162035,1,-10.7,6
CHEMBL3597469,1,-10.7,9
CHEMBL358962,1,-10.7,15
CHEMBL312293,1,-10.7,10
CHEMBL3588978,1,-10.7,10
CHEMBL234317,1,-10.7,9
CHEMBL1091000,1,-10.7,13
CHEMBL1901330,1,-10.7,4
CHEMBL3325485,1,-10.7,6
CHEMBL1940910,1,-10.7,10
CHEMBL3586287,1,-10.7,3
CHEMBL1322608,1,-10.7,2
CHEMBL49305,1,-10.7,17
CHEMBL2032411,1,-10.7,7
CHEMBL487994,1,-10.7,5
CHEMBL415609,1,-10.7,9
CHEMBL1085448,1,-10.7,3
CHEMBL180853,1,-10.7,12
CHEMBL518476,1,-10.7,8
CHEMBL1350281,1,-10.7,10
CHEMBL373224,1,-10.7,7
CHEMBL1165069,1,-10.7,5
CHEMBL1486234,1,-10.7,4
CHEMBL4094856,1,-10.7,6
CHEMBL117284,1,-10.7,5
CHEMBL512281,1,-10.7,7
CHEMBL2071189,1,-10.7,5
CHEMBL111185,1,-10.7,7
CHEMBL1520917,1,-10.7,6
CHEMBL359644,1,-10.7,4
CHEMBL593125,1,-10.7,9
