Compound,Model ID,Energy,nRot
CHEMBL3598234,1,-12.5,13
CHEMBL3236510,1,-12.5,10
CHEMBL251766,1,-12.4,5
CHEMBL2029750,1,-12.4,10
CHEMBL323018,1,-12.4,8
CHEMBL3917402,1,-12.4,10
CHEMBL1198685,1,-12.4,8
CHEMBL1715881,1,-12.4,6
CHEMBL348910,1,-12.4,12
CHEMBL37383,1,-12.4,12
CHEMBL3526648,1,-12.4,14
CHEMBL3942053,1,-12.4,10
CHEMBL132989,1,-12.4,9
CHEMBL2179471,1,-12.4,1
CHEMBL358963,1,-12.4,11
CHEMBL509164,1,-12.4,10
CHEMBL1394490,1,-12.4,6
CHEMBL2336740,1,-12.4,13
CHEMBL466535,1,-12.4,10
CHEMBL1780188,1,-12.4,8
CHEMBL473673,1,-12.4,7
CHEMBL447820,1,-12.4,7
CHEMBL3650152,1,-12.4,8
CHEMBL52702,1,-12.4,10
CHEMBL1744502,1,-12.4,12
CHEMBL1172006,1,-12.4,2
CHEMBL2152483,1,-12.4,5
CHEMBL479733,1,-12.4,4
CHEMBL257328,1,-12.4,4
CHEMBL1096690,1,-12.4,6
CHEMBL1207859,1,-12.4,8
CHEMBL359644,1,-12.4,4
CHEMBL1215839,1,-12.4,10
CHEMBL159296,1,-12.4,9
CHEMBL3327114,1,-12.4,7
CHEMBL135463,1,-12.4,12
CHEMBL2037379,1,-12.4,6
CHEMBL197862,1,-12.4,9
CHEMBL2333160,1,-12.4,7
CHEMBL4102915,1,-12.4,13
CHEMBL1707291,1,-12.4,7
CHEMBL432707,1,-12.4,5
CHEMBL1888642,1,-12.4,6
CHEMBL3706501,1,-12.4,2
CHEMBL526002,1,-12.4,11
CHEMBL265606,1,-12.3,7
CHEMBL1965193,1,-12.3,6
CHEMBL505815,1,-12.3,9
CHEMBL2437492,1,-12.3,10
CHEMBL383056,1,-12.3,12
CHEMBL277624,1,-12.3,5
CHEMBL4084401,1,-12.3,12
CHEMBL501972,1,-12.3,11
CHEMBL2087530,1,-12.3,13
CHEMBL1159403,1,-12.3,6
CHEMBL2431742,1,-12.3,13
CHEMBL1328143,1,-12.3,7
CHEMBL3236396,1,-12.3,14
CHEMBL115,1,-12.3,12
CHEMBL3249108,1,-12.3,10
CHEMBL382408,1,-12.3,16
CHEMBL1314714,1,-12.3,7
CHEMBL3354667,1,-12.3,7
CHEMBL456032,1,-12.3,7
CHEMBL3247995,1,-12.3,6
CHEMBL559398,1,-12.3,7
CHEMBL207172,1,-12.3,12
CHEMBL501914,1,-12.3,10
CHEMBL500980,1,-12.3,7
CHEMBL231522,1,-12.3,10
CHEMBL2356834,1,-12.3,13
CHEMBL512170,1,-12.3,4
CHEMBL2331568,1,-12.3,8
CHEMBL1214874,1,-12.3,11
CHEMBL152903,1,-12.3,7
CHEMBL563766,1,-12.3,14
CHEMBL2419115,1,-12.3,4
CHEMBL444301,1,-12.3,7
CHEMBL4078162,1,-12.3,16
CHEMBL1195635,1,-12.3,5
CHEMBL3747312,1,-12.3,6
CHEMBL1682460,1,-12.3,12
CHEMBL451435,1,-12.3,8
CHEMBL1224887,1,-12.3,6
CHEMBL28740,1,-12.3,10
CHEMBL3815077,1,-12.3,7
CHEMBL298189,1,-12.3,10
CHEMBL357897,1,-12.3,5
CHEMBL346407,1,-12.3,5
CHEMBL383019,1,-12.3,12
CHEMBL383459,1,-12.3,12
CHEMBL273971,1,-12.3,8
CHEMBL214810,1,-12.2,9
CHEMBL320272,1,-12.2,7
CHEMBL547799,1,-12.2,6
CHEMBL373388,1,-12.2,18
CHEMBL2151041,1,-12.2,11
CHEMBL3617998,1,-12.2,5
CHEMBL2012388,1,-12.2,0
CHEMBL453723,1,-12.2,7
CHEMBL320074,1,-12.2,5
CHEMBL3184688,1,-12.2,8
CHEMBL329842,1,-12.2,6
CHEMBL510116,1,-12.2,10
CHEMBL127911,1,-12.2,16
CHEMBL607625,1,-12.2,16
CHEMBL2029765,1,-12.2,12
CHEMBL2012387,1,-12.2,0
CHEMBL124794,1,-12.2,6
CHEMBL288648,1,-12.2,4
CHEMBL540215,1,-12.2,16
CHEMBL176316,1,-12.2,6
CHEMBL1682594,1,-12.2,15
CHEMBL511455,1,-12.2,7
CHEMBL2418984,1,-12.2,11
CHEMBL407239,1,-12.2,16
CHEMBL2029764,1,-12.2,11
CHEMBL383461,1,-12.2,13
CHEMBL2012385,1,-12.2,0
CHEMBL3735526,1,-12.2,14
CHEMBL3354666,1,-12.2,7
CHEMBL481633,1,-12.2,3
CHEMBL200510,1,-12.2,9
CHEMBL4077450,1,-12.2,12
CHEMBL23500,1,-12.2,7
CHEMBL1526240,1,-12.2,11
CHEMBL4095825,1,-12.2,10
CHEMBL3581068,1,-12.2,6
CHEMBL291088,1,-12.2,7
CHEMBL3597474,1,-12.2,9
CHEMBL456867,1,-12.2,4
CHEMBL1215008,1,-12.2,15
CHEMBL345788,1,-12.2,6
CHEMBL1198605,1,-12.2,7
CHEMBL518842,1,-12.2,1
